№;COBID;ящик;Состояние COBID;Столбец2;Столбец3;Столбец4;;;;;;;
398;923;ОРН5-10.2;Свободен;;;;;;;;;;
399;922;ОРН5-10.2;Свободен;;;;;;;;;;
400;921;ОРН5-10.2;Свободен;;;;;;;;;;
401;920;ОРН5-10.2;Свободен;;;;;;;;;;
402;919;ОРН5-11.1;Свободен;;;;;;;;;;
403;918;ОРН5-11.1;Свободен;;;;;;;;;;
404;917;ОРН5-11.1;Свободен;;;;;;;;;;
405;916;ОРН5-11.1;Свободен;;;;;;;;;;
406;915;ОРН5-11.1;Свободен;;;;;;;;;;
407;914;ОРН5-11.1;Свободен;;;;;;;;;;
408;913;ОРН5-11.1;Свободен;;;;;;;;;;
409;912;ОРН5-11.1;Свободен;;;;;;;;;;
410;911;ОРН5-11.1;Свободен;;;;;;;;;;
411;910;ОРН5-11.1;Свободен;;;;;;;;;;
412;909;ОРН5-11.1;Свободен;;;;;;;;;;
413;908;ОРН5-11.1;Свободен;;;;;;;;;;
414;907;ОРН5-11.1;Свободен;;;;;;;;;;
415;906;ОРН5-11.1;Свободен;;;;;;;;;;
416;905;ОРН5-11.1;Свободен;;;;;;;;;;
417;904;ОРН5-11.1;Свободен;;;;;;;;;;
418;903;ОРН5-11.1;Свободен;;;;;;;;;;
419;902;ОРН5-11.1;Свободен;;;;;;;;;;
420;901;ОРН5-11.1;Свободен;;;;;;;;;;
421;900;ОРН5-11.1;Свободен;;;;;;;;;;
