№ п/п;Имя параметра;Описание параметра;Система;CAN_ID;Смещение;Длина;UNO1;№ порта UNO1;UNO3;№ порта UNO3;Протокол;Тип ;StandID;BitCount
106;BI23_3SS1_DT38_T1;Сработка 3СС1-ДТ38 температура в Каюте мичманов №1 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;41;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
107;BI23_3SS1_DT38_T2;Сработка 3СС1-ДТ38 температура в Каюте мичманов №1 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;42;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
108;BI23_3SS1_DT38_dT;Сработка 3СС1-ДТ38 изменение температуры в Каюте мичманов №1 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;43;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
109;BI23_3SS1_DT28_T1;Сработка 3СС1-ДТ28 температура в Рубке гидроакустики 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;44;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
110;BI23_3SS1_DT28_T2;Сработка 3СС1-ДТ28 температура в Рубке гидроакустики 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;45;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
111;BI23_3SS1_DT28_dT;Сработка 3СС1-ДТ28 изменение температуры в Рубке гидроакустики 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;46;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
112;BI23_3SS1_DT29_T1;Сработка 3СС1-ДТ29 температура в Рубке гидроакустики 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;47;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
113;BI23_3SS1_DT29_T2;Сработка 3СС1-ДТ29 температура в Рубке гидроакустики 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;48;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
114;BI23_3SS1_DT29_dT;Сработка 3СС1-ДТ29 изменение температуры в Рубке гидроакустики 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;49;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
115;BI23_3SS1_DK10_T;Сработка 3СС1-ДК10 температура в Аппаратной АСУ Диез 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;50;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
116;BI23_3SS1_DK10_dT;Сработка 3СС1-ДК10 изменение температуры в Аппаратной АСУ Диез 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;51;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
117;BI23_3SS1_DK10_f;Сработка 3СС1-ДК10 дым в Аппаратной АСУ Диез 15%.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;52;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
118;BI23_3SS1_R4;Сработка 3СС1-Р4 в Тамбуре №6;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;53;1;ДА;3;ДА;0;Пожарная автоматика;РИ;;
119;BI23_3SS1_DF9_f;Сработка 3СС1-ДФ9 дым в Тамбуре №6 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;54;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
120;BI23_3SS1_DT27_T1;Сработка 3СС1-ДТ27 температура в Спец. архиве 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;55;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
121;BI23_3SS1_DT27_T2;Сработка 3СС1-ДТ27 температура в Спец. архиве 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;56;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
122;BI23_3SS1_DT27_dT;Сработка 3СС1-ДТ27 изменение температуры в Спец. архиве 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;57;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
123;BI23_3SS1_DF10_f;Сработка 3СС1-ДФ10 дым в Спец. архиве 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;58;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
124;BI23_3SS1_DT39_T1;Сработка 3СС1-ДТ39 температура в Каюте мичманов №2 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;59;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
125;BI23_3SS1_DT39_T2;Сработка 3СС1-ДТ39 температура в Каюте мичманов №2 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;60;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
126;BI23_3SS1_DT39_dT;Сработка 3СС1-ДТ39 изменение температуры в Каюте мичманов №2 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;61;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
127;BI23_3SS1_DT40_T1;Сработка 3СС1-ДТ40 температура в Каюте мичманов №2 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;62;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
128;BI23_3SS1_DT40_T2;Сработка 3СС1-ДТ40 температура в Каюте мичманов №2 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;501;63;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
129;BI23_3SS1_DT40_dT;Сработка 3СС1-ДТ40 изменение температуры в Каюте мичманов №2 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;502;0;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
130;BI23_3SS1_DT30_T1;Сработка 3СС1-ДТ30 температура в Посудомоечной 30 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;502;1;1;ДА;3;ДА;0;Пожарная автоматика;ПТ30;;
131;BI23_3SS1_DT30_T2;Сработка 3СС1-ДТ30 температура в Посудомоечной 70 гр.Ц.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;502;2;1;ДА;3;ДА;0;Пожарная автоматика;ПТ70;;
132;BI23_3SS1_DT30_dT;Сработка 3СС1-ДТ30 изменение температуры в Посудомоечной 10 гр.Ц. в мин.;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;502;3;1;ДА;3;ДА;0;Пожарная автоматика;ИТ10;;
133;BI23_3SS1_DF17_f;Сработка 3СС1-ДФ17 дым в Тамбуре №8 15%;2023. Комплекс технических средств охранно-пожарной автоматики ГАММА-01Ф Участок 3;502;4;1;ДА;3;ДА;0;Пожарная автоматика;Д15;;
